segment,block,method,n_gt,metric,value
26114-26116,calib,correlation_only,4,precision@5,0.8
26114-26116,calib,correlation_only,4,recall@5,1.0
26114-26116,calib,correlation_only,4,ndcg@5,1.0
26114-26116,calib,correlation_only,4,hit@10,1.0
26114-26116,calib,correlation_only,4,precision@10,0.4
26114-26116,calib,correlation_only,4,recall@10,1.0
26114-26116,calib,correlation_only,4,ndcg@10,1.0
26114-26116,calib,random_floor,4,mrr,0.27766714162477363
26114-26116,calib,random_floor,4,hit@1,0.1135
26114-26116,calib,random_floor,4,precision@1,0.1135
26114-26116,calib,random_floor,4,recall@1,0.028375
26114-26116,calib,random_floor,4,ndcg@1,0.1135
26114-26116,calib,random_floor,4,hit@3,0.2985
26114-26116,calib,random_floor,4,precision@3,0.10850000000000079
26114-26116,calib,random_floor,4,recall@3,0.081375
26114-26116,calib,random_floor,4,ndcg@3,0.10918165643142094
26114-26116,calib,random_floor,4,hit@5,0.433
26114-26116,calib,random_floor,4,precision@5,0.10219999999999906
26114-26116,calib,random_floor,4,recall@5,0.12775
26114-26116,calib,random_floor,4,ndcg@5,0.120533036597152
26114-26116,calib,random_floor,4,hit@10,0.713
26114-26116,calib,random_floor,4,precision@10,0.10599999999999785
26114-26116,calib,random_floor,4,recall@10,0.265
26114-26116,calib,random_floor,4,ndcg@10,0.18884155033111663
27554-27556,calib,shap,4,mrr,0.5
27554-27556,calib,shap,4,hit@1,0.0
27554-27556,calib,shap,4,precision@1,0.0
27554-27556,calib,shap,4,recall@1,0.0
27554-27556,calib,shap,4,ndcg@1,0.0
27554-27556,calib,shap,4,hit@3,1.0
27554-27556,calib,shap,4,precision@3,0.6666666666666666
27554-27556,calib,shap,4,recall@3,0.5
27554-27556,calib,shap,4,ndcg@3,0.5307212739772434
27554-27556,calib,shap,4,hit@5,1.0
27554-27556,calib,shap,4,precision@5,0.6
27554-27556,calib,shap,4,recall@5,0.75
27554-27556,calib,shap,4,ndcg@5,0.6096199500078984
27554-27556,calib,shap,4,hit@10,1.0
27554-27556,calib,shap,4,precision@10,0.4
27554-27556,calib,shap,4,recall@10,1.0
27554-27556,calib,shap,4,ndcg@10,0.7397466333385988
27554-27556,calib,correlation_only,4,mrr,1.0
27554-27556,calib,correlation_only,4,hit@1,1.0
27554-27556,calib,correlation_only,4,precision@1,1.0
27554-27556,calib,correlation_only,4,recall@1,0.25
27554-27556,calib,correlation_only,4,ndcg@1,1.0
27554-27556,calib,correlation_only,4,hit@3,1.0
27554-27556,calib,correlation_only,4,precision@3,1.0
27554-27556,calib,correlation_only,4,recall@3,0.75
27554-27556,calib,correlation_only,4,ndcg@3,1.0
27554-27556,calib,correlation_only,4,hit@5,1.0
27554-27556,calib,correlation_only,4,precision@5,0.8
27554-27556,calib,correlation_only,4,recall@5,1.0
27554-27556,calib,correlation_only,4,ndcg@5,1.0
27554-27556,calib,correlation_only,4,hit@10,1.0
27554-27556,calib,correlation_only,4,precision@10,0.4
27554-27556,calib,correlation_only,4,recall@10,1.0
27554-27556,calib,correlation_only,4,ndcg@10,1.0
27554-27556,calib,random_floor,4,mrr,0.2752221080388089
27554-27556,calib,random_floor,4,hit@1,0.109
27554-27556,calib,random_floor,4,precision@1,0.109
27554-27556,calib,random_floor,4,recall@1,0.02725
27554-27556,calib,random_floor,4,ndcg@1,0.109
27554-27556,calib,random_floor,4,hit@3,0.295
27554-27556,calib,random_floor,4,precision@3,0.10766666666666742
27554-27556,calib,random_floor,4,recall@3,0.08075
27554-27556,calib,random_floor,4,ndcg@3,0.10775422980818206
27554-27556,calib,random_floor,4,hit@5,0.4435
27554-27556,calib,random_floor,4,precision@5,0.10519999999999897
27554-27556,calib,random_floor,4,recall@5,0.1315
27554-27556,calib,random_floor,4,ndcg@5,0.12192001134209922
27554-27556,calib,random_floor,4,hit@10,0.723
27554-27556,calib,random_floor,4,precision@10,0.10589999999999783
27554-27556,calib,random_floor,4,recall@10,0.26475
27554-27556,calib,random_floor,4,ndcg@10,0.18843321067854696
